Team,Conference,G,RBI,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO
Kansas,Big 12,43,193,"1,127",217,314,63,7,517,42,,132,20,2,17,248,82,8,4,,20,9,,273,279
Kansas City,Summit League,40,99,"1,019",108,225,38,7,343,22,3,110,10,5,12,222,68,16,11,,39,5,,296,265
Kennesaw St.,ASUN,40,139,"1,040",149,273,43,3,412,30,,93,16,10,18,212,46,7,5,,39,12,,281,262
Kent St.,MAC,39,135,964,156,231,42,3,360,27,1,103,25,8,27,240,57,10,4,,20,3,,290,205
Kentucky,SEC,43,270,"1,169",291,389,58,9,633,56,4,107,9,12,29,204,40,4,,,41,10,,284,288
Lafayette,Patriot,36,103,918,121,206,38,2,272,8,,87,31,6,13,175,48,14,5,,29,7,,268,253
Lamar University,WAC,39,103,983,128,206,35,4,306,19,,115,27,6,16,215,61,11,10,,15,3,,262,282
Lehigh,Patriot,34,135,909,151,271,42,8,398,23,1,73,2,9,10,140,35,9,5,,46,11,,257,214
Liberty,ASUN,48,249,"1,255",281,365,61,11,580,44,2,159,25,20,13,198,53,23,12,,42,13,,303,367
Lipscomb,ASUN,43,141,"1,099",154,257,40,12,366,15,,114,21,7,23,280,70,15,5,,24,16,,278,285
LIU,NEC,46,188,"1,248",211,363,58,3,478,17,,110,19,12,37,185,57,10,3,,39,11,,370,327
LMU (CA),WCC,45,211,"1,168",239,352,68,5,523,31,1,126,31,14,47,203,66,10,5,,56,13,,317,310
Long Beach St.,Big West,42,155,"1,106",175,307,45,5,386,8,,97,33,11,17,178,50,21,15,,24,11,,343,262
Longwood,Big South,46,148,"1,230",178,335,47,9,475,25,,102,23,10,11,247,54,8,,,74,21,,307,314
Louisiana,Sun Belt,45,292,"1,196",327,427,87,20,722,56,3,150,23,20,16,140,46,18,5,,113,25,,303,324
Louisiana Tech,C-USA,49,222,"1,260",246,366,66,13,569,37,,160,57,12,26,251,79,17,3,,52,4,,265,378
Louisville,ACC,44,222,"1,162",245,335,62,15,583,52,3,149,20,6,16,239,64,7,4,,31,10,,274,298
Loyola Chicago,MVC,38,87,963,104,191,25,10,272,12,,96,15,5,10,227,74,6,4,,48,18,,265,262
LSU,SEC,47,264,"1,230",284,364,80,9,618,52,1,195,25,15,19,198,68,11,6,,44,7,,300,371
Maine,America East,38,132,"1,005",141,252,47,7,367,18,,67,12,9,15,213,49,12,4,,35,10,,279,247
Manhattan,MAAC,35,95,896,106,202,38,7,314,20,1,72,11,3,8,185,61,9,3,,36,10,,244,245
Marist,MAAC,41,151,"1,053",163,257,46,5,385,24,1,101,26,10,10,220,62,13,5,,48,10,,283,277
Marshall,C-USA,43,244,"1,107",266,357,77,2,609,57,,144,39,9,19,154,39,19,10,,32,3,,333,266
Maryland,Big Ten,45,181,"1,185",230,335,61,6,456,16,,132,36,15,19,190,65,6,3,,122,15,,353,296
Massachusetts,Atlantic 10,43,137,"1,091",163,275,34,10,368,13,,148,28,12,21,232,56,12,4,,25,3,,287,295
McNeese,Southland,46,201,"1,161",240,325,60,13,477,22,2,147,39,17,16,188,57,21,8,1,109,21,,303,332
Memphis,AAC,48,167,"1,196",188,307,39,6,415,19,,122,16,13,33,204,63,15,7,,24,16,,355,328
Mercer,SoCon,45,136,"1,150",153,288,43,8,389,14,,136,36,6,28,250,69,13,6,,27,12,,293,311
Merrimack,NEC,31,65,769,71,163,22,1,205,6,,78,15,2,12,177,46,5,,,28,6,,244,170
Miami (OH),MAC,42,243,"1,126",259,339,57,10,680,88,6,144,16,12,6,209,42,10,2,,35,8,,206,360
Michigan,Big Ten,43,183,"1,134",207,324,73,8,491,26,1,107,29,9,17,231,64,6,3,,46,13,,296,276
Michigan St.,Big Ten,48,164,"1,247",183,331,59,7,476,24,1,129,22,15,36,230,62,23,11,,47,17,,280,419
Middle Tenn.,C-USA,47,136,"1,217",148,302,47,4,399,14,,100,26,12,39,197,40,12,9,,48,9,,357,375
Minnesota,Big Ten,41,218,"1,095",231,313,59,5,544,54,2,156,41,7,20,213,61,14,6,,27,1,,226,341
Mississippi St.,SEC,48,231,"1,194",252,345,58,6,604,63,6,144,42,10,12,204,51,20,14,,18,6,,259,373
Mississippi Val.,SWAC,33,67,808,82,172,21,10,234,7,,59,13,4,25,156,38,5,2,,55,10,,279,191
Missouri,SEC,44,205,"1,178",229,338,47,8,605,68,2,133,24,9,8,236,58,10,4,,43,13,,270,321
Missouri St.,MVC,36,131,941,140,223,39,6,367,31,,100,19,7,16,231,66,6,2,,50,12,,255,233
Monmouth,MAAC,42,93,"1,067",108,226,43,3,311,12,1,104,29,3,19,266,86,11,4,,26,10,,254,309
Montana,Big Sky,41,184,"1,121",199,323,51,4,493,37,2,119,34,10,18,178,30,11,6,,21,3,,305,299
Morehead St.,OVC,36,77,813,90,175,29,5,226,4,,73,35,4,11,228,59,11,6,,39,15,,198,203
Morgan St.,MEAC,38,150,994,182,261,63,17,388,10,,125,26,11,14,151,43,6,2,,84,19,,286,278
Mount St. Mary's,NEC,41,118,"1,002",134,233,45,5,348,20,1,107,36,5,24,251,71,4,1,,88,12,,256,269
Murray St.,OVC,44,195,"1,132",221,338,78,9,533,33,1,105,30,11,15,195,45,11,3,,43,14,,271,324
N.C. A&T,Big South,40,139,980,154,242,28,9,366,26,,93,15,7,12,296,71,5,2,,61,15,,222,211
N.C. Central,MEAC,41,149,973,162,239,38,4,375,30,,110,23,2,3,234,60,18,10,,38,13,,204,270
NC State,ACC,50,243,"1,227",261,324,58,1,597,71,,180,46,15,11,330,68,8,4,1,27,8,,198,376
Nebraska,Big Ten,45,281,"1,242",300,404,66,10,694,68,2,157,22,10,8,186,51,21,15,,38,6,,293,334
Nevada,Mountain West,46,165,"1,201",184,305,52,6,444,25,1,116,49,11,26,315,110,11,1,,76,17,,282,295
New Mexico,Mountain West,44,190,"1,195",204,328,51,9,520,41,18,162,13,17,20,230,72,10,4,,17,5,,291,341
New Mexico St.,WAC,39,192,"1,015",209,315,42,3,513,50,,102,17,4,5,198,53,12,4,,32,9,,280,196
Niagara,MAAC,31,89,780,106,179,32,1,231,6,1,101,13,5,13,172,47,6,1,,30,6,,224,187
Nicholls,Southland,42,137,"1,012",147,263,53,4,372,16,,111,22,10,21,248,64,11,4,,49,13,,240,260
NIU,MAC,36,134,948,161,258,43,7,357,14,,107,9,9,24,151,36,5,,,54,17,,278,247
Norfolk St.,MEAC,47,237,"1,217",269,369,76,12,562,31,1,163,37,15,19,188,70,26,12,,95,25,,343,295
North Ala.,ASUN,43,243,"1,187",274,380,61,8,586,43,,129,19,13,14,145,34,12,6,,49,7,,322,314
North Carolina,ACC,48,175,"1,198",198,325,62,11,469,20,1,113,36,11,18,220,32,16,3,,49,23,,346,300
North Dakota,Summit League,47,86,"1,201",99,266,45,5,336,5,,105,21,10,11,214,49,19,8,,31,11,,368,325
North Dakota St.,Summit League,44,222,"1,203",237,336,86,5,501,23,,130,21,14,9,233,62,10,3,,26,7,,309,309
North Florida,ASUN,51,230,"1,288",258,366,61,9,547,34,,137,24,17,39,142,48,16,6,,72,20,,375,406
North Texas,C-USA,38,204,"1,003",221,288,56,4,508,52,3,114,21,12,7,196,55,13,2,,44,11,,245,261
Northern Colo.,Big Sky,44,173,"1,146",192,328,52,9,455,19,1,92,37,12,33,188,44,11,3,,29,13,,326,302
Northern Ky.,Horizon,45,126,"1,156",145,270,50,4,382,18,,109,21,5,41,271,80,9,5,,32,8,,363,250
Northwestern,Big Ten,41,240,"1,131",273,330,53,7,568,57,7,144,48,13,6,218,53,4,,,59,13,,268,290
Northwestern St.,Southland,45,161,"1,209",172,325,46,1,460,29,,110,21,8,32,199,47,19,11,,20,6,,302,380
Notre Dame,ACC,44,255,"1,238",284,411,84,12,642,41,4,110,32,11,16,142,31,10,5,,64,9,,351,316
Oakland,Horizon,27,96,730,107,183,32,1,271,18,,62,13,5,3,136,32,8,6,,14,4,,176,203
Ohio,MAC,41,183,"1,134",209,316,69,11,542,45,1,123,32,11,4,230,61,10,2,,71,6,,246,329
Ohio St.,Big Ten,40,187,"1,066",203,309,51,10,503,41,1,79,22,10,24,180,47,7,2,,38,10,,294,286
Oklahoma,Big 12,43,381,"1,034",402,393,53,7,802,114,2,200,36,17,9,112,18,14,8,1,47,11,,238,266
Oklahoma St.,Big 12,45,231,"1,172",263,358,45,4,594,61,,155,28,10,16,209,55,15,3,,47,10,,305,279
Ole Miss,SEC,47,230,"1,192",253,346,64,8,534,36,1,155,48,14,18,221,66,13,10,,43,7,,266,358
Omaha,Summit League,35,130,947,147,269,50,6,397,22,,89,32,6,4,183,54,13,6,,39,3,,259,218
Oregon,Pac-12,42,237,"1,152",265,353,66,7,604,57,,102,24,14,8,173,51,11,3,,73,15,,307,287
Oregon St.,Pac-12,46,213,"1,274",237,363,58,4,570,47,1,104,24,8,7,245,45,8,3,,33,11,,317,312
Pacific,WCC,42,110,"1,111",130,277,37,5,375,17,1,73,17,7,22,186,35,17,12,,36,14,,311,310
Penn,Ivy League,37,110,980,128,241,32,3,351,24,1,103,20,4,10,209,48,6,2,,26,5,,225,291
Penn St.,Big Ten,44,186,"1,130",199,297,60,6,492,41,2,111,33,6,20,232,55,9,3,,30,8,,258,336
Pittsburgh,ACC,38,129,937,134,240,33,8,379,30,,95,15,3,24,243,66,9,2,,38,14,,233,228
Portland St.,Big Sky,39,155,"1,009",176,270,41,5,387,22,,126,28,8,20,205,58,9,4,,51,10,,293,221
Prairie View,SWAC,38,148,981,167,273,49,6,412,26,4,128,11,6,29,209,68,16,4,,42,8,,292,217
Presbyterian,Big South,41,180,"1,039",197,317,54,4,481,34,1,94,16,11,21,224,55,11,9,,49,6,,238,260
Princeton,Ivy League,36,127,959,148,283,55,3,374,10,,61,11,5,14,159,38,11,2,,37,12,,264,241
Providence,Big East,40,149,"1,026",163,247,45,2,386,30,2,125,26,2,9,217,69,14,10,,25,8,,261,268
Purdue,Big Ten,46,142,"1,134",157,293,47,12,448,28,3,114,27,11,17,256,59,6,3,,25,6,,264,321
Purdue Fort Wayne,Horizon,41,98,958,111,211,42,4,318,19,,98,14,6,22,272,80,6,5,,37,12,,243,238
Quinnipiac,MAAC,32,94,797,104,183,41,4,262,10,,74,24,6,14,171,43,3,1,,22,9,,238,190
Radford,Big South,40,123,"1,016",134,228,42,1,371,33,,93,16,5,33,240,45,2,1,,22,6,,302,247
Rhode Island,Atlantic 10,39,115,"1,043",133,261,41,7,346,10,,93,4,9,23,190,54,10,6,,41,10,,283,309
Rider,MAAC,44,181,"1,239",204,374,53,6,475,12,,61,22,6,24,184,38,10,6,1,15,5,,364,301
Robert Morris,Horizon,38,159,"1,054",184,276,48,4,398,22,,120,24,6,12,214,49,6,5,,49,4,,264,267
Rutgers,Big Ten,50,199,"1,242",224,340,67,7,508,29,2,150,51,17,23,208,53,26,6,,59,16,,329,376
Sacramento St.,Big Sky,45,201,"1,201",214,342,54,4,545,47,4,118,15,7,25,231,58,18,10,,26,8,,331,294
Sacred Heart,NEC,44,108,"1,112",123,271,45,5,395,23,,96,18,8,15,246,67,15,1,,12,3,,275,303
Saint Francis (PA),NEC,44,178,"1,157",205,333,53,9,515,37,6,111,41,12,21,166,36,15,5,,44,11,,296,353
